IPI,Intrepid Potash Inc,Basic Materials,,,
CALM,Cal Maine Foods Inc,Consumer Staples,,,
CASY,Casey's General Stores Inc,Consumer Staples,,,
CENTA,Central Garden & Pet Co A,Consumer Staples,,,
CHD,Church & Dwight Co,Consumer Staples,,,
DAR,Darling Intl Inc,Consumer Staples,,,
DF,Dean Foods Co,Consumer Staples,,,
DMND,Diamond Foods,Consumer Staples,,,
ENR,Energizer Hldgs Inc,Consumer Staples,,,
FLO,Flowers Foods Inc,Consumer Staples,,,
HAIN,Hain Celestial Group Inc,Consumer Staples,,,
HSH,The Hillshire Brands Co.,Consumer Staples,,,
INGR,Ingredion Inc.,Consumer Staples,,,
IPAR,Inter Parfums Inc.,Consumer Staples,,,
JJSF,J&J Snack Foods,Consumer Staples,,,
LANC,Lancaster Colony Corp,Consumer Staples,,,
LNCE,Lance Inc,Consumer Staples,,,
PBH,Prestige Brands Holdings Inc.,Consumer Staples,,,
POST,"Post Holdings, Inc.",Consumer Staples,,,
SAFM,Sanderson Farms,Consumer Staples,,,
SAM,Boston Beer Inc A,Consumer Staples,,,
SENEA,Seneca Foods Corp.,Consumer Staples,,,
SPTN,Spartan Stores Inc,Consumer Staples,,,
SVU,Supervalu Inc,Consumer Staples,,,
THS,TreeHouse Foods Inc,Consumer Staples,,,
TR,Tootsie Roll Industries Inc,Consumer Staples,,,
UNFI,United Natural Foods Inc,Consumer Staples,,,
UVV,Universal Corp,Consumer Staples,,,
WDFC,WD-40 Co,Consumer Staples,,,
WWAV,WhiteWave Foods,Consumer Staples,,,
ACI,Arch Coal,Energy,,,
AREX,Approach Resources Inc.,Energy,,,
ATW,Atwood Oceanics Inc,Energy,,,
BAS,Basic Energy Services,Energy,,,
BBG,Bill Barrett Corp,Energy,,,
BRS,Bristow Group Inc,Energy,,,
CJES,C&J Energy Services Inc.,Energy,,,
CKH,SEACOR Holdings Inc.,Energy,,,
CLD,Cloud Peak Energy,Energy,,,
CRK,Comstock Res Inc,Energy,,,
CRR,Carbo Ceramics Inc,Energy,,,
CRZO,Carrizo Oil & Gas Inc.,Energy,,,
DRC,Dresser-Rand Group Inc.,Energy,,,
DRQ,Dril-Quip Inc,Energy,,,
ERA,Era Group Inc.,Energy,,,
EXH,Exterran Holdings Inc,Energy,,,
FST,Forest Oil,Energy,,,
GEOS,Geospace Technologies Corporation,Energy,,,
GIFI,Gulf Island Fabrication Inc,Energy,,,
GPOR,Gulfport Energy Corp.,Energy,,,
GPRE,Green Plains Renewable Energy,Energy,,,
HFC,HollyFrontier Corp.,Energy,,,
HLX,Helix Energy Solutions Group Inc,Energy,,,
HOS,Hornbeck Offshore Services,Energy,,,
INT,World Fuel Services Corp,Energy,,,
IO,ION Geophysical Corp,Energy,,,
MCF,Contango Oil & Gas Co.,Energy,,,
MTRX,Matrix Service Co,Energy,,,
NOG,Northern Oil and Gas Inc.,Energy,,,
NR,Newpark Resources Inc.,Energy,,,
OII,Oceaneering Intl Inc,Energy,,,
OIS,Oil States Intl Inc,Energy,,,
PDCE,"PDC Energy, Inc.",Energy,,,
PES,Pioneer Energy Services Corp.,Energy,,,
PQ,Petroquest Energy Inc,Energy,,,
PTEN,Patterson-UTI Energy Inc,Energy,,,
PVA,Penn Virginia Corp,Energy,,,
ROSE,Rosetta Resources Inc.,Energy,,,
SFY,Swift Energy Co,Energy,,,
SGY,Stone Energy Corp,Energy,,,
SM,SM Energy Co,Energy,,,
SPN,Superior Energy Services Inc,Energy,,,
TDW,Tidewater Inc,Energy,,,
TESO,Tesco Corp.,Energy,,,
TTI,Tetra Technologies Inc,Energy,,,
UNT,Unit Corp,Energy,,,
WPX,WPX Energy Inc.,Energy,,,
CMO,Capstead Mortgage Corp.,Finance,,,
RNR,RenaissanceRe Holdings Ltd.,Finance,,,
WPG,Washington Prime Group Inc.,Finance,,,
CHCO,City Hldg Co,Financial,,,
CLGX,CoreLogic Inc.,Financial,,,
AAT,American Assets Trust Inc.,Financials,,,
ACC,American Campus Communities Inc.,Financials,,,
ADC,Agree Realty Corp.,Financials,,,
AEC,Associated Estates Realty Corp.,Financials,,,
AF,Astoria Financial Corp (NY),Financials,,,
AFG,American Financial Group,Financials,,,
AHL,Aspen Insurance Holdings Ltd.,Financials,,,
AJG,"""Gallagher",Financials,,,
AKR,Acadia Realty Trust,Financials,,,
AMG,Affiliated Managers Grp,Financials,,,
AMSF,Amerisafe,Financials,,,
ARE,Alexandria Real Estate Eqty,Financials,,,
ASBC,Associated Banc-Corp (IL),Financials,,,
BANR,Banner Corp.,Financials,,,
BBCN,Nara Bancorp Inc,Financials,,,
BFS,Saul Centers Inc.,Financials,,,
BKMU,Bank Mutual Corp,Financials,,,
BMR,BioMed Realty Trust Inc,Financials,,,
BOFI,BofI Holding Inc.,Financials,,,
BOH,Bank of Hawaii Corp,Financials,,,
BPFH,Boston Private Finl Hldgs Inc,Financials,,,
BRKL,Brookline Bancorp Inc,Financials,,,
BRO,Brown & Brown Inc,Financials,,,
BXS,BancorpSouth Inc (MS),Financials,,,
CATY,Cathay General Bancorp,Financials,,,
CBOE,"CBOE Holdings, Inc.",Financials,,,
CBSH,Commerce Bancshares Inc (MO),Financials,,,
CBU,Community Bank System,Financials,,,
CDR,Cedar Shopping Centres Inc,Financials,,,
CFNL,Cardinal Financial Corp.,Financials,,,
CFR,Cullen Frost Bankers (TX),Financials,,,
CHSP,Chesapeake Lodging Trust,Financials,,,
CLI,Mack-Cali Realty Corp,Financials,,,
CLMS,Calamos Asset Management Inc.,Financials,,,
COLB,Columbia Banking System Inc,Financials,,,
COR,Coresite Realty,Financials,,,
CPT,Camden Property Trust,Financials,,,
CSH,Cash America Intl Inc,Financials,,,
CTRE,CareTrust REIT Inc.,Financials,,,
CUZ,Cousins Properties,Financials,,,
CVBF,CVB Financial Corp.,Financials,,,
CYN,City National Corp (CA),Financials,,,
DCOM,Dime Community Bancshares Inc,Financials,,,
DRE,Duke Realty Corp,Financials,,,
DRH,Diamondrock Hospitality,Financials,,,
ECPG,Encore Capital Group Inc.,Financials,,,
EGP,EastGroup Properties,Financials,,,
EHTH,eHealth Inc,Financials,,,
EIG,Employers Holdings Inc,Financials,,,
EPR,Entertainment Propertie Tr SBI,Financials,,,
EQY,Equity One Inc,Financials,,,
EV,Eaton Vance Corp,Financials,,,
EVR,Evercore Partners Inc.,Financials,,,
EWBC,East West Bancorp Inc,Financials,,,
EXR,Extra Space Storage Inc,Financials,,,
EZPW,EZCORP Inc A,Financials,,,
FAF,First American Financial Corp,Financials,,,
FBP,First Bancorp (Puerto Rico),Financials,,,
FCF,First Commonwealth Finl (PA),Financials,,,
FCFS,First Cash Inc,Financials,,,
FFBC,First Financial Bancorp,Financials,,,
FFIN,First Financial Bankshs (TX),Financials,,,
FHN,First Horizon National Corp,Financials,,,
FII,Federated Investors Inc B,Financials,,,
FMBI,First Midwest Bancorp (IL),Financials,,,
FMER,FirstMerit Corp,Financials,,,
FNB,FNB Corp.,Financials,,,
FNF,Fidelity National Financial Inc,Financials,,,
FNFG,First Niagara Finl Group,Financials,,,
FNGN,Financial Engines Inc.,Financials,,,
FOR,Forestar Group Inc,Financials,,,
FRT,Federal Realty Invt Trust,Financials,,,
FSP,Franklin Street Properties Corp,Financials,,,
FULT,Fulton Financial Corp (PA),Financials,,,
FXCM,FXCM Corp.,Financials,,,
GBCI,Glacier Bancorp Inc,Financials,,,
GDOT,Green Dot Corp.,Financials,,,
GHL,Greenhill & Co Inc,Financials,,,
GOV,Government Properties Income Trust,Financials,,,
GTY,Getty Realty Corp.,Financials,,,
HAFC,Hanmi Financial Corp,Financials,,,
HBHC,Hancock Hldgs Co,Financials,,,
HCC,HCC Insurance Hldgs Inc,Financials,,,
HCI,HCI Group Inc.,Financials,,,
HF,HFF Inc.,Financials,,,
HIW,Highwoods Properties,Financials,,,
HME,Home Properties of New York,Financials,,,
HMN,Horace Mann Educators,Financials,,,
HOMB,Home Bancshares,Financials,,,
HPT,Hospitality Properties Trust,Financials,,,
HR,Healthcare Realty Trust,Financials,,,
IBOC,Intl Bancshares Corp,Financials,,,
INDB,Independent Bank Cp (MA),Financials,,,
IPCC,Infinity Property & Casualty Ins Corp,Financials,,,
IRC,Inland Real Estate Corp,Financials,,,
ITG,Investment Technology Group,Financials,,,
JLL,Jones Lang Lasalle Inc,Financials,,,
JNS,Janus Capital Group Inc,Financials,,,
KMPR,Kemper Corporation,Financials,,,
KRC,Kilroy Realty Corp,Financials,,,
KRG,Kite Realty Group Trust,Financials,,,
LHO,LaSalle Hotel Properties SBI,Financials,,,
LPT,Liberty Property Trust,Financials,,,
LTC,LTC Properties,Financials,,,
LXP,Lexington Realty Trust,Financials,,,
MAA,Mid-America Apt Communties,Financials,,,
MATX,Matson Inc.,Financials,,,
MBFI,MB Financial Inc.,Financials,,,
MCY,Mercury General Corp,Financials,,,
MIG,Meadowbrook Insurance Group Inc.,Financials,,,
MKTX,MarketAxess Holdings Inc.,Financials,,,
MPW,Medical Properties Trust,Financials,,,
NAVG,Navigators Group Inc,Financials,,,
NBTB,NBT Bancorp Inc (NY),Financials,,,
NNN,National Retail Properties Inc,Financials,,,
NPBC,National Penn Bancshares (PA),Financials,,,
NWBI,Northwest Bancshares Inc.,Financials,,,
NYCB,New York Community Bancorp Inc,Financials,,,
O,Realty Income Corp,Financials,,,
OFC,Corporate Office Properties Trust,Financials,,,
OHI,Omega Healthcare Investors,Financials,,,
ONB,Old National Bancorp (DE),Financials,,,
ORI,Old Republic Intl Corp,Financials,,,
ORIT,Oritani Financial Corp.,Financials,,,
OZRK,Bank of the Ozarks Inc.,Financials,,,
PACW,PacWest Bancorp,Financials,,,
PB,Prosperity Bancshares Inc,Financials,,,
PCH,Potlatch Corp,Financials,,,
PEI,Pennsylvania Real Estate,Financials,,,
PFS,Provident Financial Services Inc.,Financials,,,
PJC,Piper Jaffray Cos,Financials,,,
PKY,Parkway Properties Inc (MD),Financials,,,
PL,Protective Life Corp,Financials,,,
PNFP,Pinnacle Financial,Financials,,,
PPS,Post Properties Inc,Financials,,,
PRA,ProAssurance Corp,Financials,,,
PRAA,Portfolio Recovery Associates Inc,Financials,,,
PRI,Primerica Inc.,Financials,,,
PSB,PS Business Parks Inc,Financials,,,
PVTB,PrivateBancorp Inc,Financials,,,
RE,Everest Re Group Ltd,Financials,,,
REG,Regency Centers Corp,Financials,,,
RGA,Reinsurance Group of America,Financials,,,
RJF,Raymond James Financial Inc,Financials,,,
RLI,RLI Corp,Financials,,,
ROIC,Retail Opportunity Investments Corp.,Financials,,,
RYN,Rayonier Inc,Financials,,,
SAFT,Safety Insurance Group Inc,Financials,,,
SBNY,Signature Bank NY,Financials,,,
SBRA,"Sabra Health Care REIT, Inc.",Financials,,,
SEIC,SEI Investments Corp,Financials,,,
SF,Stifel Financial Corp,Financials,,,
SFG,StanCorp Financial Group Inc,Financials,,,
SFNC,Simmons 1st Natl Corp A,Financials,,,
SIGI,Selective Insurance Group Inc,Financials,,,
SIVB,SVB Financial Group,Financials,,,
SKT,Tanger Factory Outlet Centers,Financials,,,
SLG,SL Green Realty Corp,Financials,,,
SLM,SLM Corp,Financials,,,
SNH,Senior Housing Properties Trst,Financials,,,
SNV,Synovus Financial Corp (GA),Financials,,,
SSS,Sovran Self Storage,Financials,,,
STBA,S & T Bancorp Inc (IN),Financials,,,
STC,Stewart Information Services A,Financials,,,
STL,Sterling Bancorp.,Financials,,,
SUSQ,Susquehanna Bancshares (PA),Financials,,,
SWS,SWS Group Inc,Financials,,,
TAYC,Taylor Capital Group,Financials,,,
TCB,TCF Financial Corp (MN),Financials,,,
TCBI,Texas Capital Bancshares Inc.,Financials,,,
TCO,Taubman Centers Inc.,Financials,,,
THG,Hanover Insurance Group Inc,Financials,,,
TMP,Tompkins Financial Corporation,Financials,,,
TRMK,Trustmark Corp (MS),Financials,,,
TRST,Trustco Bank Corp (NY),Financials,,,
UBA,Urstadt Biddle Prop Inc A,Financials,,,
UBSI,United Bankshares Inc (WV),Financials,,,
UCBI,United Community Banks Inc GA,Financials,,,
UDR,UDR Inc,Financials,,,
UFCS,United Fire & Casualty Co,Financials,,,
UMBF,UMB Financial Corp,Financials,,,
UMPQ,Umpqua Hldgs Corp,Financials,,,
UVE,Universal Insurance Holdings Inc.,Financials,,,
VLY,Valley National Bancorp (NJ),Financials,,,
VPFG,"ViewPoint Financial Group, Inc",Financials,,,
VRTS,Virtus Investment Partners Inc.,Financials,,,
WABC,Westamerica Bancorporatn (CA),Financials,,,
WAFD,Washington Fed Inc,Financials,,,
WBS,Webster Financial Corp (CT),Financials,,,
WDR,Waddell & Reed Finl A,Financials,,,
WIBC,Wilshire Bancorp Inc,Financials,,,
WRB,WR Berkley Corp,Financials,,,
WRI,Weingarten Realty Investors,Financials,,,
WRLD,World Acceptance Corp,Financials,,,
WTFC,Wintrust Financial Corp,Financials,,,
Y,Alleghany Corp.,Financials,,,
ABAX,Abaxis Inc,Health Care,,,
ABMD,Abiomed Inc.,Health Care,,,
ACOR,Acorda Therapeutics Inc.,Health Care,,,
AFAM,Almost Family Inc,Health Care,,,
AFFX,Affymetrix Inc,Health Care,,,
AHS,AMN Healthcare Services Inc,Health Care,,,
AIRM,Air Methods Corp,Health Care,,,
AKRX,"Akorn, Inc.",Health Care,,,
ALGN,Align Technology Inc,Health Care,,,
ALOG,Analogic Corp,Health Care,,,
AMED,Amedisys Inc,Health Care,,,
AMRI,Albany Molecular Research Inc.,Health Care,,,
AMSG,Amsurg Corp,Health Care,,,
ANIK,Anika Therapeutics Inc.,Health Care,,,
BABY,Natus Medical Inc,Health Care,,,
BIO,Bio-Rad Laboratories Inc,Health Care,,,
BRLI,Bio Reference Laboratories Inc,Health Care,,,
CBM,Cambrex Corp,Health Care,,,
CBST,Cubist Pharmaceuticals Inc,Health Care,,,
CCRN,Cross Country Healthcare Inc,Health Care,,,
CHE,Chemed Corp,Health Care,,,
CNC,Centene Corp,Health Care,,,
CNMD,Conmed Corp,Health Care,,,
COO,Cooper Companies Inc,Health Care,,,
CPSI,Computer Programs & Systems Inc,Health Care,,,
CRL,Charles River Laboratories,Health Care,,,
CRVL,Corvel Corp,Health Care,,,
CRY,Cryolife Inc,Health Care,,,
CVD,Covance Inc,Health Care,,,
CYBX,Cyberonics Inc,Health Care,,,
CYH,Community Health Systems,Health Care,,,
CYNO,Cynosure,Health Care,,,
ENDP,Endo Pharmaceuticals Hldg,Health Care,,,
GB,Greatbatch Inc,Health Care,,,
GTIV,Gentiva Health Svcs,Health Care,,,
HAE,Haemonetics Corp,Health Care,,,
HGR,Hanger Orthopedic Group Inc,Health Care,,,
HMSY,HMS Holdings Corp,Health Care,,,
HNT,Health Net Inc,Health Care,,,
HOLX,Hologic Inc,Health Care,,,
HRC,Hill-Rom Holdings Inc,Health Care,,,
HSIC,"""Schein",Health Care,,,
HSTM,HealthStream Inc.,Health Care,,,
HWAY,Healthways Inc,Health Care,,,
IART,Integra Lifesciences Hldg,Health Care,,,
ICUI,ICU Medical Inc,Health Care,,,
IDXX,IDEXX Laboratories Inc,Health Care,,,
IPCM,IPC The Hospitalist Co Inc,Health Care,,,
IPXL,Impax Laboratories,Health Care,,,
IVC,Invacare Corp,Health Care,,,
KND,Kindred Healthcare Inc,Health Care,,,
LCI,Lannett Company Inc.,Health Care,,,
LDR,Landauer Inc,Health Care,,,
LGND,Ligand Pharmaceuticals Inc.,Health Care,,,
LHCG,LHC Group,Health Care,,,
LMNX,Luminex Corp.,Health Care,,,
LPNT,Lifepoint Hospitals,Health Care,,,
MASI,Masimo Corp,Health Care,,,
MD,Mednax Inc,Health Care,,,
MDCO,The Medicines Company,Health Care,,,
MDSO,"Medidata Solutions, Inc.",Health Care,,,
MGLN,Magellan Health Services,Health Care,,,
MMSI,Merit Medical Systems Inc,Health Care,,,
MNK,Mallinckrodt plc,Health Care,,,
MNTA,"Momenta Pharmaceuticals, Inc.",Health Care,,,
MOH,Molina Healthcare,Health Care,,,
MTD,Mettler-Toledo Intl,Health Care,,,
MWIV,MWI Veterinary Supply,Health Care,,,
NEOG,Neogen Corp,Health Care,,,
NUVA,NuVasive Inc.,Health Care,,,
OCR,Omnicare Inc,Health Care,,,
OMCL,Omnicell Inc,Health Care,,,
OMI,Owens & Minor Inc,Health Care,,,
PMC,PharMerica Corp,Health Care,,,
PRXL,PAREXEL Intl Corp,Health Care,,,
QCOR,Questcor Pharmaceuticals Inc.,Health Care,,,
QSII,Quality Systems Inc,Health Care,,,
RGEN,Repligen Corporation,Health Care,,,
RMD,ResMed Inc,Health Care,,,
SIRO,Sirona Dental Systems Inc.,Health Care,,,
SLXP,Salix Pharmaceuticals Ltd,Health Care,,,
SMA,Symmetry Medical,Health Care,,,
SPPI,"Spectrum Pharmaceuticals, Inc.",Health Care,,,
SRDX,SurModics Inc,Health Care,,,
STE,STERIS Corp,Health Care,,,
TECH,Techne Corp,Health Care,,,
TFX,Teleflex Inc,Health Care,,,
THOR,Thoratec Corp,Health Care,,,
UHS,Universal Health Services B,Health Care,,,
UTHR,United Therapeutics Corp,Health Care,,,
VIVO,Meridian Bioscience Inc,Health Care,,,
WCG,Wellcare Health Plans Inc,Health Care,,,
WOOF,VCA Antech Inc,Health Care,,,
WST,West Pharmaceutical Services Inc,Health Care,,,
CMN,Cantel Medical Corp,Healthcare,,,
EBS,Emergent Biosolutions Inc,Healthcare,,,
POWL,Powell Industries,Industrial Goods,,,
AAON,Aaon Inc,Industrials,,,
AAWW,Atlas Air Worldwide Holdings Inc.,Industrials,,,
ABM,ABM Industries Inc,Industrials,,,
ACET,Aceto Corp.,Industrials,,,
ACM,Aecom Technology Corp,Industrials,,,
AEGN,Insituform Technologies Inc,Industrials,,,
AGCO,AGCO Corp,Industrials,,,
AIN,Albany Intl Corp A,Industrials,,,
AIR,AAR Corp,Industrials,,,
AIT,Applied Industrial Technologies,Industrials,,,
ALEX,Alexander & Baldwin Inc,Industrials,,,
ALK,Alaska Air Group Inc,Industrials,,,
AMWD,American Woodmark Corp.,Industrials,,,
AOS,"""Smith",Industrials,,,
APOG,Apogee Enterprises Inc,Industrials,,,
ARCB,ArcBest Corp,Industrials,,,
ASEI,American Science & Engineering,Industrials,,,
ASGN,On Assignment Inc,Industrials,,,
ASTE,Astec Industries Inc,Industrials,,,
ATK,Alliant Techsystems Hldgs,Industrials,,,
ATU,Actuant Corp,Industrials,,,
AVAV,Aerovironment Inc,Industrials,,,
AYI,Acuity Brands Inc,Industrials,,,
AZZ,AZZ Incorporated,Industrials,,,
B,Barnes Group Inc,Industrials,,,
BCO,The Brink's Co,Industrials,,,
BDC,Belden Inc,Industrials,,,
BEAV,BE Aerospace Inc,Industrials,,,
